id,date,item,price,county_code,addtnl
1,01/01/2021,French Fries,2.00,17,clear-Carmen-tip
2,01/01/2021,OKRA,4.00,10,clear-Sydney-tip
3,01/02/2021,cheesy mac,6.00,20,rainy-Richie-tip
4,01/02/2021,nachos,5.00,11,clear-Sydney-tip
5,01/03/2021,mac and cheese,6.00,20,clear-Tina-tip
6,01/03/2021,nachoes,5.00,15,clear-Sydney-tip
7,01/03/2021,nachos,5.00,7,clear-Richie-tip
8,01/03/2021,French fries,2.00,18,clear-Marcus-tip
9,01/04/2021,French Fries,2.00,1,clear-Sydney-tip
10,01/04/2021,FRIES,2.00,20,clear-Sydney-tip
11,01/05/2021,fries,2.00,12,clear-Marcus-tip
12,01/05/2021,okra,4.00,9,clear-Marcus-tip
13,01/05/2021,nachos,5.00,10,rainy-Sydney-tip
14,01/05/2021,nachos,5.00,6,rainy-Sydney-no tip
15,01/06/2021,okra,4.00,32,clear-Marcus-tip
16,01/07/2021,cheesy mac,6.00,12,clear-Sydney-tip
17,01/07/2021,mac-n-cheese,6.00,2,clear-Marcus-tip
18,01/07/2021,macaroni,6.00,14,clear-Sydney-tip
19,01/07/2021,nachos,5.00,16,rainy-Sydney-no tip
20,01/08/2021,nachos,5.00,41,rainy-Carmen-tip
21,01/08/2021,French fries,2.00,10,rainy-Richie-tip
22,01/09/2021,nachos,5.00,44,clear-Sydney-tip
23,01/09/2021,mac-n-cheese,6.00,19,clear-Richie-tip
24,01/09/2021,OKRA,4.00,19,clear-Sydney-no tip
25,01/09/2021,FRIES,2.00,26,rainy-Tina-tip
26,01/09/2021,Okra,4.00,46,clear-Carmen-tip
27,01/10/2021,French fries,2.00,26,clear-Sydney-
28,01/11/2021,nachos,5.00,17,clear-Sydney-tip
29,01/11/2021,mac-n-cheese,6.00,16,rainy-Richie-
30,01/11/2021,nachos,5.00,7,clear-Carmen-tip
31,01/11/2021,French fries,2.00,29,rainy-Tina-tip
32,01/11/2021,French Fries,2.00,28,clear-Tina-
33,01/12/2021,French Fries,2.00,16,rainy-Carmen-tip
34,01/13/2021,mac-n-cheese,6.00,1,clear-Sydney-tip
35,01/13/2021,nachos,5.00,10,clear-Carmen-tip
36,01/13/2021,FRIES,2.00,10,rainy-Tina-
37,01/14/2021,nachos,5.00,1,clear-Richie-tip
38,01/14/2021,French Fries,2.00,13,clear-Carmen-no tip
39,01/14/2021,mac-n-cheese,6.00,2,rainy-Tina-tip
40,01/15/2021,French Fries,2.00,13,clear-Sydney-tip
41,01/15/2021,nachos,5.00,8,rainy-Sydney-tip
42,01/16/2021,nachos,5.00,33,rainy-Richie-no tip
43,01/16/2021,French fries,2.00,20,rainy-Sydney-tip
44,01/16/2021,cheesy mac,6.00,37,rainy-Richie-no tip
45,01/17/2021,FRIES,2.00,26,clear-Sydney-tip
46,01/17/2021,nachos,5.00,28,rainy-Carmen-tip
47,01/17/2021,macaroni,6.00,6,clear-Richie-tip
48,01/17/2021,fries,2.00,16,clear-Carmen-
49,01/18/2021,Okra,4.00,3,rainy-Richie-tip
50,01/18/2021,French Fries,2.00,14,clear-Carmen-no tip
51,01/18/2021,French Fries,2.00,42,clear-Sydney-tip
52,01/18/2021,French fries,2.00,4,clear-Tina-tip
53,01/18/2021,FRIES,2.00,10,clear-Tina-tip
54,01/19/2021,fries,2.00,13,clear-Carmen-
55,01/20/2021,FRIES,2.00,19,clear-Carmen-tip
56,01/21/2021,French fries,2.00,7,clear-Sydney-tip
57,01/22/2021,fries,2.00,24,clear-Sydney-no tip
58,01/22/2021,French fries,2.00,11,rainy-Marcus-tip
59,01/22/2021,French Fries,2.00,41,rainy-Richie-tip
60,01/22/2021,nachos,5.00,6,rainy-Richie-tip
61,01/23/2021,cheesy mac,6.00,43,clear-Sydney-tip
62,01/24/2021,French Fries,2.00,19,rainy-Marcus-tip
63,01/24/2021,nachos,5.00,17,clear-Marcus-tip
64,01/25/2021,French fries,2.00,11,clear-Carmen-tip
65,01/26/2021,French Fries,2.00,4,rainy-Tina-tip
66,01/26/2021,fries,2.00,22,clear-Sydney-tip
67,01/26/2021,mac and cheese,6.00,18,clear-Carmen-tip
68,01/26/2021,French fries,2.00,10,rainy-Carmen-tip
69,01/27/2021,fries,2.00,3,clear-Richie-tip
70,01/28/2021,FRIES,2.00,14,rainy-Sydney-tip
71,01/28/2021,mac-n-cheese,6.00,23,clear-Sydney-tip
72,01/28/2021,okra,4.00,4,clear-Tina-tip
73,01/28/2021,fries,2.00,31,rainy-Marcus-no tip
74,01/28/2021,Okra,4.00,1,clear-Tina-tip
75,01/28/2021,Okra,4.00,12,clear-Marcus-no tip
76,01/28/2021,nachoes,5.00,46,rainy-Richie-tip
77,01/28/2021,nachos,5.00,15,rainy-Tina-tip
78,01/28/2021,mac and cheese,6.00,25,clear-Tina-tip
79,01/29/2021,FRIES,2.00,34,rainy-Sydney-tip
80,01/29/2021,French Fries,2.00,16,rainy-Sydney-tip
81,01/29/2021,nachos,5.00,7,clear-Richie-no tip
82,01/29/2021,French fries,2.00,5,clear-Tina-no tip
83,01/29/2021,OKRA,4.00,15,rainy-Sydney-
84,01/29/2021,nachos,5.00,28,clear-Marcus-tip
85,01/29/2021,macaroni,6.00,33,rainy-Sydney-tip
86,01/29/2021,FRIES,2.00,8,rainy-Tina-
87,01/30/2021,nachos,5.00,16,rainy-Marcus-
88,01/30/2021,French fries,2.00,17,rainy-Richie-tip
89,01/31/2021,nachos,5.00,43,clear-Sydney-no tip
90,01/31/2021,French fries,2.00,39,clear-Sydney-no tip
91,01/31/2021,nachoes,5.00,11,clear-Tina-tip
92,01/31/2021,FRIES,2.00,10,clear-Marcus-tip
93,01/31/2021,nachoes,5.00,7,clear-Richie-
94,01/31/2021,nachoes,5.00,45,rainy-Tina-tip
95,01/31/2021,nachos,5.00,15,clear-Carmen-
96,01/31/2021,Okra,4.00,3,clear-Sydney-tip
97,01/31/2021,Okra,4.00,36,rainy-Marcus-tip
98,01/31/2021,nachoes,5.00,15,rainy-Sydney-no tip
99,01/31/2021,nachos,5.00,17,rainy-Sydney-tip
100,01/31/2021,nachos,5.00,7,clear-Tina-tip
101,01/31/2021,nachos,5.00,19,clear-Marcus-tip
102,01/31/2021,French fries,2.00,19,rainy-Sydney-no tip
103,01/31/2021,FRIES,2.00,45,rainy-Carmen-tip
104,01/31/2021,nachos,5.00,18,clear-Carmen-tip
105,01/31/2021,FRIES,2.00,18,clear-Sydney-tip
106,01/31/2021,okra,4.00,15,clear-Sydney-tip
107,01/31/2021,French fries,2.00,9,clear-Sydney-tip
108,01/31/2021,FRIES,2.00,10,rainy-Marcus-tip
109,01/31/2021,French fries,2.00,3,clear-Marcus-no tip
110,01/31/2021,fries,2.00,16,clear-Sydney-tip
111,01/31/2021,OKRA,4.00,42,clear-Sydney-no tip
112,01/31/2021,mac and cheese,6.00,19,clear-Sydney-tip
113,01/31/2021,nachoes,5.00,19,clear-Tina-tip
114,01/31/2021,macaroni,6.00,17,clear-Richie-tip
115,01/31/2021,fries,2.00,43,clear-Sydney-tip
116,01/31/2021,fries,2.00,38,clear-Sydney-tip
117,01/31/2021,French Fries,2.00,8,clear-Sydney-no tip
118,01/31/2021,fries,2.00,7,clear-Carmen-tip
119,01/31/2021,mac and cheese,6.00,42,clear-Marcus-tip
